color_space,hog_orient,hog_pix_per_cell,spatial_size,color_hist_bins,reduc_factor,C,gamma,kernel,accuracy,time to predict 100,training time,features vector length,performance
YCrCb,9,16,16,16,8,10,0.001,rbf,0.99324,0.036688,9.00563,223.0,19.41717
YCrCb,9,16,16,16,12,1,0.005,linear,0.98789,0.008461,10.15928,149.0,64.26992
YCrCb,9,16,16,16,12,1,0.005,rbf,0.99155,0.053596,11.17691,149.0,12.20671
YCrCb,9,16,16,16,12,1,0.001,linear,0.9893,0.008531,10.51432,149.0,68.45427
YCrCb,9,16,16,16,12,1,0.001,rbf,0.98649,0.060579,12.11052,149.0,8.36204
YCrCb,9,16,16,16,12,5,0.005,linear,0.98649,0.007532,30.40782,149.0,67.25492
YCrCb,9,16,16,16,12,5,0.005,rbf,0.99493,0.038265,9.84274,149.0,20.26864
YCrCb,9,16,16,16,12,5,0.001,linear,0.98761,0.007729,29.13266,149.0,69.36664
YCrCb,9,16,16,16,12,5,0.001,rbf,0.9893,0.029691,7.04889,149.0,19.6687
YCrCb,9,16,16,16,12,10,0.005,linear,0.98846,0.007546,47.92503,149.0,74.17169
YCrCb,9,16,16,16,12,10,0.005,rbf,0.99521,0.037336,9.20466,149.0,21.06729
YCrCb,9,16,16,16,12,10,0.001,linear,0.98761,0.008405,46.51435,149.0,63.78759
YCrCb,9,16,16,16,12,10,0.001,rbf,0.99043,0.02199,5.43168,149.0,28.11668
YCrCb,9,16,16,16,16,1,0.005,linear,0.98705,0.007166,8.30004,111.0,72.72452
YCrCb,9,16,16,16,16,1,0.005,rbf,0.99155,0.028945,7.1444,111.0,22.60255
YCrCb,9,16,16,16,16,1,0.001,linear,0.98564,0.007025,8.37955,111.0,69.06685
YCrCb,9,16,16,16,16,1,0.001,rbf,0.98339,0.041123,9.47019,111.0,10.52458
YCrCb,9,16,16,16,16,5,0.005,linear,0.98564,0.006603,23.79449,111.0,73.48094
YCrCb,9,16,16,16,16,5,0.005,rbf,0.9955,0.021652,5.29367,111.0,36.86084
YCrCb,9,16,16,16,16,5,0.001,linear,0.9848,0.006701,23.33043,111.0,69.38449
YCrCb,9,16,16,16,16,5,0.001,rbf,0.98846,0.021709,5.17615,111.0,25.78191
YCrCb,9,16,16,16,16,10,0.005,linear,0.98592,0.006293,34.05678,111.0,78.20348
YCrCb,9,16,16,16,16,10,0.005,rbf,0.99606,0.02016,5.23416,111.0,40.71782
YCrCb,9,16,16,16,16,10,0.001,linear,0.98677,0.006589,39.95303,111.0,77.97895
YCrCb,9,16,16,16,16,10,0.001,rbf,0.99043,0.017696,4.43456,111.0,34.9393
YCrCb,9,32,16,16,8,1,0.005,linear,0.98029,0.00939,10.65584,115.0,39.36072
